"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Bhayshul Tuten","JAX","7","RB","8","6","0","59","0","1","0","0","75","-1.38","7.38","9.83","12.33","1","1","1","12.5","16.7","100","0","0","0","0","0","32","0","130","0","1","0","4.06","3.03","6","0.19","0","6","1","18.8","100","1","1","3.1","100","0","1","36.9","0.39","0.97"
"Cam Skattebo","NYG","7","RB","28","23","0","189","0","1","0","1","82.1","-0.32","6.75","8.22","8.7","2","1","1","7.1","4.3","100","0","0","0","0","0","98","0","398","0","5","0","4.06","3.04","21","0.21","1","23","5","23.5","100","9","4","9.2","80","1","1","117.7","0.41","0.97"
"Nate Carter","ATL","2","RB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","46","0","0","0","6.57","4.29","1","0.14","1","0","0","0","0","0","0","0","0","0","0","4.6","0.57","0.66"
"Jaylen Wright","MIA","1","RB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Raheim Sanders","CLV","1","RB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","3","0","1","0","1","0.67","0","0","0","2","1","66.7","100","2","1","66.7","100","0","0","6.3","2.1","2.1"
"Braelon Allen","NYJ","4","RB","3","2","0","17","0","0","0","1","66.7","2.67","5.67","8.5","4.5","2","1","0","66.7","50","0","0","0","0","0","0","18","0","76","0","1","0","4.22","2.56","1","0.06","1","6","1","33.3","100","0","0","0","0","0","1","17.3","0.3","0.86"
"TreVeyon Henderson","NE","7","RB","18","16","0","99","0","0","0","1","88.9","-1.5","5.5","6.19","7.69","0","0","0","0","0","0","0","0","0","0","0","43","0","153","0","1","0","3.56","2.4","5","0.12","0","5","1","11.6","100","1","1","2.3","100","0","0","47.2","0.31","0.8"
"Bucky Irving","TB","4","RB","19","19","1","193","1","2","1","0","100","-2.11","10.16","10.16","12.26","2","2","1","10.5","10.5","50","0","0","0","0","0","71","0","237","0","0","0","3.34","2.39","15","0.21","1","7","0","9.9","0","0","0","0","0","0","0","74","0.37","0.82"
"Cooper DeJean","PHI","3","RB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"DJ Giddens","IND","7","RB","2","0","0","0","0","0","0","1","0","-3","0","0","0","1","0","0","50","0","0","0","0","0","0","0","18","0","66","0","0","0","3.67","2.5","1","0.06","0","2","0","11.1","0","1","0","5.6","0","0","0","6.6","0.13","0.37"
